comment,likes,dislikes
군단장이랑 현존 최강 슬레이어 위엄 하나도 없네,7035,112
아니 항상 새로운 인물 등장시킬 때마다 넘 벨붕으로 나오는거 아니냐..야마로 대체 가주 어케 잡을라했누..,4463,84
"밸붕일게 있나??
구스트앙이 중요하게 생각한 책을 단 한명한테 맡겼는데 그게 군단장급 이상이어야 말이맞지.. 일반랭커한테 맡길순 없잖음",2431,120
썸네일 사기는 진짜 아니지않음? 개에바인데,1916,42
액션씬 좋은데 또 이상한 기술로 듣보잡 문지기 하나로 몇화 잡아먹을 스토리 벌써 나오고있고... 자하드군 군단장이 였던 자와 슬레이어는 너무 보기좋게 농락당하고...,1898,90
썸네일 구라는 진짜 첨 겪는다 제발 정신좀 차려주세요,982,52
"오늘다 요약
묶였다/풀었다/낚였다/찔렸다",725,49
근데 저 갈색머리가 비등하게 싸우는거 이해 되지않음? 10가문에는 슬레이어나 군단장이랑 버금가거나 그 이상인 애들도 있을텐데 가주한테 직접 임명받은 극비 임무를 수행할 정도면 이번 전투의 핵심이 되는 물건인건데 저정도는 싸워야 납득이 감. 오히려 쉽게 당하면 10가문의 저력이 약해보일 듯 글고 아직 이름이랑 지위가 안나왔지만 가문에서 꽤 중요하거나 강한 인물일수도,723,63
"뭔가 만화의 정체성이 사라진것 같다..

랭커가 되기 위해 탑을 오르는 선별인원들의 풋풋함 =이제 랭커는 걍 벌레만도 못함
창지기 파도잡이등의 캐릭터마다 특성있던 전투씬
=이제 걍 다 치고박고 에네르기파 쏨
캐릭터 하나하나 위엄있고 몰입도있던 하이랭커들
=이제 걍 소비성 엑스트라 꼬라지보면 E급 선별인원같아보이는 연출",566,27
"다음화 무조건 나오는 대사

사서: 후..가주님께서 '직접' 만드신
이 수갑 없었으면 큰일날뻔했어",515,33
야마가 100위 이내의 하이랭커라는게 믿어지십니까? ㅋㅋㅋㅋㅋ,478,13
다들 부정적인 댓글을 달긴 하지만 그 누구보다 1주일 내내 신의탑만 애타게 기다리다 11시 땡치자마자 들어온 애독자들일뿐입니다.. 그렇기에 기대한만큼 실망한것도 커서 그러는것이니 작가님 더더욱 파이팅하시길 기원합니다,551,102
"진짜 파워밸런스 생각을 너무 안하시는게 아닌가..
자하드를 끌어내릴 목적으로 세워진 퍼그의 슬레이어,
그 슬레이어를 가볍게 조종하고 그 종을 멸족시킬 뻔 한 군단장.

근데 지금은 둘이서 SM플레이를 하고 앉아있네 ㅋㅋㅋ
아니 고등학생 둘이서 성인 한명한테 덤벼도
성인은 이기기 힘든게 보통인데

네임드 하이랭커 둘이 무슨 이상한 문지기한테 털리고 있으면 주인공 밤은 머 어디까지 성장을 해야됨??..",407,25
"근데 이건 독자들이 실망할수밖에 없는게 예전 야마 케이지편 보면 싸움씬이 웅장함. 근데 지금 싸움씬은 그냥 시즌1 에반켈의 지옥편 같은 옹졸한 느낌밖에 없어요 ㅠㅠ
최상위 하이랭커 3명에서 싸우는데 옛날 강한 선별인원 3명에서 싸우는 느낌임..",383,19
밸런스 쓰레기같네 아무리 클라스 뒤졌어도 자하드군을 대표하는 군단장출신 + 가주와 견주려고 만든 슬레이어 조합을 10가문 하이랭커가 직접 마무리 하는것도 아니고 뭔 도구에 뒤져가는 전개라니..,377,34
