comment,likes,dislikes,
잼민이들 맨날 사이다 전개만 원해서 이런 복잡한 상황 견디질 못하네ㅋㅋㅋㅋㅋㅋㅋ댓글창 안보는게 답이다ㄹㅇ,15956,810,논쟁
"가주뜨면 우렉 오지 않는 이상 전멸아님?
그럴일은 없을거 같긴한데",10302,111,작품내용
예전에 작가님은 처음부터 끝까지 스토리라인 전부 구상 해두셨다고 블로그였나 베댓이었나 아무튼 그렇다고 합니다 기억은 잘 안나는데 그 길던 지옥열차 스토리도 결국엔 앞으로 나올 스토리를 위한 떡밥을 위해서였고 살짝 길어지고 쳐진다 싶으면 필요없는 씬은 쳐내고 부연설명들은 짧게 해서 보여주셨으니 이번 스토리도 뭔가 생각이 있으시니 이렇게까지 끄시는 거겠죠 솔직히 말해서 저도 거의 5년 전부터 신의 탑 정주행하는 독자로써 살짝 루즈해지고 너무 끈다고 생각이 드는데 그래도 작가님은 실망시킨 적이 단 한 번도 없으셨으니 이번에도 분명 뭐가 있다고 생각하고 기다려봅니다. 물타기로 별점 테러 하지마시고 조금만 기다려보죠 우리. 물론 쿠키써서,8630,347,논쟁
"로포비아 가주오면 뭐ㅋㅋㅋ

밤한텐 구스트앙있다",5378,113,작품내용
뭐지? 이번화는 꽤 알차고 떡밥도 많이 풀린화라서 200원 가치는 하는거 같은데 별점 왜 저럼?,3688,180,칭찬
마스체니 언급 - 판이 커졌다 - 마스체니가 감당할수없는 어려운분(로포비아 가주) - 하진성은 하가문에 중요한 인질 - 로포비아 가주를 대항할수 있는 하가문의 가주 등장?,2505,58,작품내용
이번화는 알차고 재밌었는데 별점이 왜그러지 나만그런건가,2159,136,칭찬
"와 유한성이 당황하는 표정은 커피믹스 단종되는 일 아니면
절대 안나올줄 알았는데",1402,18,작품내용
"화이트 군단장급인데요? 바른다니....

밸런스조질려고그러나",1285,114,작품내용
"너희 저번에 보니까 밤이 변했다느니 답답하다느니 그런말하던데 지금 밤이 말하는거보면 딱 이해안가냐?
신의탑 1화부터 저런성격으로 지금까지 살아왔다는건데 그걸 이제서야 누군가에게 표현하는건데 지들이 원하는 내용 안나온다고 답답하다고ㅋㅋㅋ 애초에 ""목적을 위해 다른일은 타인에게 맡기고 목적지로 가야한다."" 라는 클리셰는 누가 정한거냐? 니들이 답답한건 밤이랑 너희가 성격이 안맞아서 답답한거고 밤입장에서는 저게 맞다고 생각하는거고, 만화는 만화세상안에서 캐릭터를 이해해서 봐야지 니네마음대로 진행이 안된다고 질질끈다느니 어쩌느니 하지마라. 빨리빨리 가자는애들은 뭐 완결빨리나길 바란다는건지 뭔지ㅋㅋ",1233,90,논쟁
아 자꾸 까먹네..유한성은 남자다..유한성은 남자다..,1016,15,작품내용
지난주 베댓에서 앞으로 5주간은 가망 없다 그래서 별 생각 없이 봤는데 이번주 ㅈㄴ 괜찮은데??? 분량도 좋고 이렇게까지 교차진행하는데 다 조금씩은 스토리 진전됐음 솔직히 이번주는 괜찮았다,872,55,칭찬
그리고 왜이렇게 캐릭터들 대가리가 커지는 느낌이지,365,21,비판
작화 너무 슬프다... 자하드가 공주인지 뭔지 저 머리 푸른애도 옛날 그림체였으면 조녜보스 였을텐데ㅜ,266,17,비판
밤 와꾸 왜저러냐 그림체가 퇴보하는거 같은데,184,24,비판
