comment,likes,dislikes,,,,,,,,,,,
"독자들 의견 반영 열심히 하고 있지만, 이제는 눈에 거슬리는 게 뭐든 다 고쳐야 할 점으로, 피드백으로 잡힌 프레임이 씌워진거 같아 마음이 아프네요. 확실히 예전이 더 재밌는 느낌은 있지만 오늘 느낌은 그 시절 옛 신의 탑 느낌이 들어서 재밌게 봤어요 작가님. 항상 응원하고 앞으로 더 좋은 작품 만들어 주실 거라 믿어 의심치 않습니다. 화이팅이에요",11439,740,칭찬,,,,,,,,,,
갑자기 대사 수준 왜이러냐,6581,1016,비판,,,,,,,,,,
"먼 쿤이 에반켈을 살려 ㅋ
에반켈자기불꽃으로 살아난거같은데
쿤은 다른곳에있구만",4058,94,작품내용,,,,,,,,,,
"전쟁이 거대한규모고 하이랭커들이 많이 나오면 뭐하냐..게릴라마냥 다 따로 전투하고 매력없는 빌런들만 나오고 목숨을 건 비장함도 안보이는데

전개가 늦어지고 루즈해지는건 메인인물이나 스토리 없이 모든 전장을 다 보여주려하기 때문이고 재미가 없는건 매력없는 캐릭터랑 몰입을 방해하는 사이드 전환 및 유치한 대사와 전개방식 그리고 고질적인 전투씬 때문이다.

독자들이 비판을 하는건 작품에 애정이 있기때문이고 애정이 없으면 아예 보지를 않는다 근데 작가는 독자들이랑 기싸움하듯 유치하게 말바꾸기나 하고 이번화에서도 전개가 빠르다는 대사같이 굳이 할 필요 없는 말을 해서 본인 작품의 몰입감을 해친다

신의탑의 웅장한 세계관에 열광하고 몰입했던 독자들은 작가가 유치하게 만화 내 캐릭터에 본인 감정 부여해서 기싸움하는거 보고 몰입이 떨어지고 애정도 식어간다 프로라면 그냥 결과로써 보여주면 되는거 아닌거? 최근 순위도 떨어지고 댓글도 적어진게 눈에 보이는데 왜 자꾸 모른척하는지 모르겠다",3641,718,비판,,,,,,,,,,C
"팩트 : 만화가 예전 만큼 재미없어진거 맞음
매 회차때 마다 나오는 설정오류
랭커의 위상 현재 : 지나가는 똥 취급함 선별인원들이 겁을 먹지 않음
작가의 계속 되는 새로운 인물 추가
뇌절하는 개그",2738,235,비판,,,,,,,,,,
"작가님... 참교육은아니더라도 적어도 쇼미더럭키짱은 이기셔야하는게... 신의탑체면이있지...

이래서야 흰수염이 버기한테 지는꼴인데요?",2438,236,비판,,,,,,,,,,
"동일인 아닌거같음. 도저히 말이 안됨. 세계관이 커져서 연출에 한계가 온거, 파워밸런스 붕괴등은 다른 작품들에도 충분히 있을 수 있는 문제인데, 작품 결이 이렇게 달라지는 경우는 본적이 없음. 시즌1때 쿼츠랑 술래잡기 하던 거는 지금봐도 재밌는데,,, 이건모 헌터헌터랑 마법천자문 수준으로 다르니,,,,",2160,127,비판,,,,,,,,,,
ㅋㅋㅋㅋ작품이 폭망해서 여론은 더 폭망한걸 이제 인지했으니 결국 본작 내용이 기형아가 되버림 누가봐도 감옥 컨트롤러잖아! 슈우우우웅! 철컥! 이런 빠른 전개가! ㅋㅋㅋ장난침? 근 10년이 되어가는 작품속에 주독자층 나이가 몇살이나 될거 같음? 농담 아니고 7살짜리 동화책도 이러지는 않아 감당 못하면 걍 다 박살나는거임 진짜 개박살 내가 볼때 신의탑 최선은 지금 당장 부족함을 알고 즉시 연중하는게 답임 그러고 과감히 수정하고 정리하고 단단히 재정비해 오는게 작품 기형으로 안만들고 다시 최선의 신의탑으로 돌아갈 수 있음 이딴식이면 앞으로 던져버린 모든 쩌리는 누가봐도 진행! 했다! 성공이야! 이런 3컷논리 되버림 느리던 빠르던 작가가 정한거지만 더 멋있고 맛있게 살려야지 에라 몰라 걍 후다닥빼! 너내가 이케 하라매! 이런 책임 떠넘기기는 하지 말았으면 좋겠다 이딴 무성의 작위적인 모습은 그냥 기만임 너내 찡찡대서 이런다라는 기만,1821,200,비판,,,,,,,,,,
"난 이제 잘 모르겠다. 정주행 10번은 할 정도로 신의 탑 좋아했는데. 주변에도 최고의 웹툰 중 하나라고 계속 권유하고. 근데 지금은 솔직히 정으로 보고 있음. 어디가 어떻게 잘못됐다 말하는 것까진 주제 넘은 참견이라고 생각하는데, 정말 이 작품 사랑했던 사람으로서, 개인적인 감상평을 말하자면... 작품에 긴장감도 매력도 없음.",1432,69,비판,,,,,,,,,,
"이작가 지금 둥지끝내고 뭐할지 생각은 해놨을까?
유리누나는 어디로가서 어디에 갇혀있고
라헬은 구스트앙이랑 어디갔으며 뭐어떻게됐는지
자왕난은 어디로갔는지 전부스토리는 짜놓으신거죠?

애초에 엔도르시는 어디갔나요ㅋㅋㅋ
호크니랑 카이저 쿤 라크 하츠 이수는 전장에서 피흘리며 싸우고있는데 얘네는 어디갔는지 도망간건가 실종신고해야할삘

아니 승탑시험 치루로간거면 다같이가던가 선별인원들이 전장에남아서 뭘할수있음?

이렇게 무리수 두다가 화이트힘 억지로나눠먹는다는 억지전개가 나왔지",1502,154,비판,,,,,,,,,,
